country,type,cluster,avg_tone,std_tone,count_mentions
Tanzania,LAB,2,-0.5354378439173,2.531457234763887,32
Mali,SPY,1,-9.565759175069937,1.7147409756642336,394
Papua New Guinea,JUD,1,-4.763136670702822,3.0223416498867754,686
Kuwait,MNC,0,-0.9810477006020671,4.762108361876786,1805
Ethiopia,MED,1,-5.378996019602425,3.195000143112627,753
Ecuador,JUD,0,-6.975844715496329,3.2590269514818844,607
United Kingdom,RAD,0,-7.179531446600197,5.093050729222964,135
France,?,0,-2.183517320788604,3.805256816644076,1842181
Netherlands,?,1,-2.6778163404434614,3.7056670895593258,294339
Japan,?,2,-1.7502740511453938,3.0683272082854827,1096646
Kenya,?,0,-2.967997686718356,4.224168341681272,204037
Venezuela,?,2,-4.7762708345935225,3.4309988793280524,214662
Vanuatu,?,2,-2.9616640254817956,3.435921224479927,10102
Morocco,MIL,1,-3.666657469951659,4.1639692660530025,127
Bahrain,MED,0,-3.7411357713164723,5.257028170510796,636
Armenia,EDU,0,-2.23525129935052,3.647327733170423,406
Lebanon,REB,1,-4.872587433447047,4.103770265616826,119
Trinidad and Tobago,OPP,0,-3.559094564808694,2.847025802043618,18
Sierra Leone,COP,2,-5.249820385182612,2.48279446121732,234
Ethiopia,LAB,2,1.2858742132654268,2.3132106316569274,36
Botswana,BUS,2,0.5377183732810578,2.656695331614569,146
Czech Republic,SET,0,1.90364706966186,1.810058463365531,3
Tonga,EDU,1,-2.5489869550622775,3.1918630373052306,35
Vatican City,HLH,0,-1.4191332844737525,2.6716655916483854,50
Norway,REB,0,-1.7181649866864561,5.36423389802891,10
Mongolia,MED,1,0.008439482015052636,1.7659780203699862,224
Cambodia,ENV,0,-2.19976381116698,3.059700341421441,12
Germany,ENV,1,-1.259777347151715,3.307723953480454,2
Switzerland,CRM,1,-3.368881352706042,5.170444248336704,22
Qatar,REB,1,-3.9623098337417164,1.5718284570982999,7
Togo,MIL,1,-5.246803905618129,4.3860427876617845,27
Albania,ELI,2,-2.7472147709257935,3.3393409369212272,146
Honduras,LEG,1,-1.6151494786263632,5.352237887763004,61
Moldova,REB,0,-2.67605633802817,0.0,2
Mongolia,HLH,2,2.118206337077294,1.8070501978851088,10
Costa Rica,AGR,0,0.82222984718961,1.0052697082739162,7
Netherlands,INS,2,-1.9083969465648802,0.0,3
United Arab Emirates,MNC,2,1.1645780270454,7.068867071751642,2
Malawi,AGR,2,-3.331281945720457,2.515356851479629,35
Hungary,SPY,2,-1.36157930195604,0.47500009255054154,5
Azerbaijan,HRI,1,-4.984617510476099,2.164875085648749,10
Saint Kitts and Nevis,COP,1,-1.855576915902646,2.37660831654204,8
Iceland,AGR,0,0.4793556920329167,0.30058926745283493,3
Saint Lucia,EDU,1,2.7501909854851,0.0,1
Tanzania,EDU,2,-1.3407276422511771,3.982526775010254,1016
United States,NGO,0,-1.1399356594159245,3.4285791946288566,39814
China,MED,2,-3.093831389458674,3.186377298884551,15789
Bangladesh,OPP,2,-8.092435681797088,3.3461806892295414,1068
Syria,HLH,1,-5.52239355239452,2.987682686264669,3371
Bulgaria,GOV,0,-2.2248041970846053,4.619117803942514,4672
Italy,JUD,1,-6.106345060915387,2.986225668691321,9378
Argentina,JUD,1,-5.369803085735735,2.528095212720128,2066
Colombia,JUD,1,-2.6214592996464012,4.454979640336513,665
Myanmar,OPP,2,-0.7725692351454668,3.5189924503841516,3215
Uzbekistan,CVL,0,-4.836830047373738,2.2277971883418024,1169
Singapore,COP,2,-4.0972681561674635,3.1254780520133276,1035
Australia,ENV,1,-3.3161480241648915,2.513628102449714,33
Syria,BUS,0,-2.3345518928805187,2.926928514554215,416
Bahrain,OPP,2,-6.477935463667552,3.2282353433849793,1537
Hungary,OPP,0,-4.7028035987156285,2.0757039446074765,112
Uzbekistan,JUD,1,-7.725765610132488,1.9313880896341507,350
Uruguay,COP,1,-5.418534658132713,2.048482973370827,78
Portugal,GOV,0,-1.5108514313581154,3.6367089733072047,6258
Gambia,?,0,-1.9972970216634096,3.5509124146610596,37526
Ecuador,?,1,-2.212198185087685,3.3637990698343545,100186
Liechtenstein,?,1,-1.5348365745243089,4.126126850637482,2119
Somalia,REF,1,-5.490651983145502,3.004535503704587,3441
Georgia,?,0,-0.41954483181101454,2.71389851944474,576
Haiti,OPP,0,-4.725702304261233,3.3271954795238736,298
Ethiopia,MED,2,-5.1531055805450965,4.186796493984559,1309
Israel,RAD,2,-4.8571331704145955,3.5239337379015976,321
Tajikistan,LEG,0,-2.080267540202009,3.9043394252331702,145
Egypt,HRI,2,-5.214180788947203,3.669464525727852,357
Mongolia,MIL,1,-0.13847766282402046,3.177351324303449,34
Colombia,REF,1,-4.517154972038829,3.2135521127579767,73
Tuvalu,EDU,1,2.884389061959152,0.17569658390185366,5
Malta,EDU,0,0.8531635351308592,2.72198721229524,94
Panama,LAB,2,-3.4246455214151528,0.5411882215600045,161
Thailand,REB,1,-8.965207980510343,3.918336757803598,158
Saint Kitts and Nevis,COP,2,-4.960606131130808,0.2911313816916418,10
Sri Lanka,IGO,0,-2.011012629487543,5.149388238821533,30
Djibouti,ELI,0,-3.0180903844518103,4.133043983193039,15
Benin,LAB,1,-0.27190673043914226,1.9732745981964908,9
