,ActorCountry,MentionsCountry,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
59,Vatican City,Taiwan,0.2944095824612824,3.775349923636387,864,42.905092592592595,-0.2752107312593883,5.310226669531297
60,Luxembourg,Argentina,-2.8777461828578184,2.590978233979494,96,45.0,-3.2284408374330837,3.920751889031934
61,Israel,Cameroon,-1.7986343071129243,4.468093805726224,194,38.144329896907216,-1.7409492038462444,5.5658416087435745
62,Eritrea,Germany,-4.6357207145856725,3.2568643941112376,702,33.53276353276353,-4.792943620957157,5.744227412311718
63,South Africa,Vatican City,-2.887879161762827,3.8540277552369657,157,33.88535031847134,-2.637824521103773,4.93256834525914
64,Brazil,Cambodia,-3.6184227327867364,3.3294229237327944,298,37.24832214765101,-3.3953541973850925,4.570550456687159
65,Cuba,Somalia,-2.1987491881378896,2.070989249949002,236,39.8728813559322,-2.0706625991788257,3.380552805211548
66,Argentina,Haiti,-1.0094013515726612,3.653799934524675,209,32.87081339712919,-1.4909271345873263,4.703135220587975
67,Nicaragua,Taiwan,0.32887439297617777,2.9123263504065466,1551,37.0535138620245,0.10054342458412517,3.9116065548776393
68,Democratic Republic of the Congo,Georgia,-0.8000290233777698,2.738841252656888,13,40.0,-1.3229838570242127,3.7768650624866615
69,United Arab Emirates,Hong Kong,-1.7960968581759644,4.350355082526284,232,39.0948275862069,-2.0217411614912297,5.6274298406027805
70,Portugal,Cameroon,-3.1164616988171545,3.4166286138516297,119,56.470588235294116,-2.8096155377970717,4.722805989492271
71,Iceland,Malawi,4.79269937442297,3.9874289978946074,26,31.53846153846154,4.430452568723051,3.768729470074745
72,Bahamas,Saint Vincent and the Grenadines,0.8605827464839243,3.1666727993779014,58,33.10344827586207,1.3628237977470183,4.61518970601296
73,Germany,Cameroon,-2.0303179530439106,3.5442079308161767,723,39.03181189488244,-1.7880210938308374,4.250265321707198
74,Belarus,Macau,-2.4854628148480025,4.553661148862258,22,35.45454545454545,-1.6035843164455061,7.965876615584505
75,Botswana,Malawi,-1.1152095180683512,4.0915750099293104,208,43.31730769230769,-0.9372448823282387,4.396593690981874
76,Zambia,Ukraine,2.215132894123293,0.4424870899223737,7,42.857142857142854,2.2324058214566542,0.9478840622385178
77,Zimbabwe,Samoa,-2.7124299208315006,2.7155676857942157,224,48.57142857142857,-2.4656568849642877,3.3363868917680093
78,Portugal,Netherlands,-0.5416670781672874,3.6083287338861054,189,47.24867724867725,-0.44215741254787894,4.47749662329371
79,Djibouti,Ireland,-3.865398930272055,2.7652745879790235,195,32.46153846153846,-4.076753910654915,6.134234703066085
80,India,Norway,-5.226514347506341,4.396347689736928,209,37.655502392344495,-4.579136376460231,5.612747941625647
81,Sweden,Mauritius,-5.121671905077443,2.9432594183307796,45,37.111111111111114,-5.527818913088722,4.773377966337215
82,Spain,Zambia,-0.24953480879871046,6.511375480382114,46,33.26086956521739,0.41046327892198686,7.2982299556928245
83,Afghanistan,Benin,1.765771675849839,1.5215758808706308,11,50.90909090909091,2.035957139629879,1.7657846511016877
84,Switzerland,Uganda,-2.7775466717603994,4.074353683552814,515,37.33980582524272,-2.785988230537773,5.6866632035203715
85,Mozambique,Sierra Leone,1.8475281768633156,3.1750610479984465,741,48.51551956815115,2.097166067634147,3.777800984303449
86,Myanmar,Cuba,-3.125222189472779,1.8724175104468783,24,55.833333333333336,-2.852151138988072,2.5359087686528747
87,Liberia,Somalia,-1.947430729898086,3.1399298245387963,149,36.77852348993289,-1.8563584743840833,4.590007653678168
88,Luxembourg,Haiti,-2.0455344534977757,2.1976241302898076,21,41.904761904761905,-1.4992320686333693,2.4015313018834497
89,Cuba,Algeria,2.664252914885993,2.205005784653111,120,44.916666666666664,2.8851517663204773,3.5340577840647858
90,Saint Kitts and Nevis,Singapore,-0.08429659724364559,3.638063415723761,101,56.83168316831683,0.03864822820245108,3.579560768686626
91,Norway,Cameroon,-1.963671519252788,3.9037591023718208,81,34.93827160493827,-2.4177085546306323,6.8751347047493745
92,Estonia,Macedonia,0.7688689892576307,4.925607317334063,61,35.73770491803279,1.7464540700156268,6.640979526630193
93,Canada,Macau,-2.60483752268324,4.0989917074041005,281,35.587188612099645,-2.124522452362722,4.919520859987949
94,Italy,Guatemala,0.64507860560492,1.842682572299193,2,20.0,0.64507860560492,1.8426825722991933
95,Burundi,Bulgaria,-8.714431222468802,2.8177490672261043,59,62.3728813559322,-9.107635986685217,5.57937192010084
96,Albania,Ireland,-4.751973048304787,3.805416036659859,383,33.62924281984334,-4.732085135715588,5.732854736578446
97,Senegal,Kuwait,1.2380563512557994,5.086785693307243,83,42.04819277108434,0.8939367693197676,6.096208924580561
98,Philippines,Cayman Islands,-1.4865727070219732,5.721733173839544,70,32.857142857142854,-1.994095270889952,7.154617990490801
99,Barbados,Turkey,-2.0641618336243326,1.44158990116461,34,56.470588235294116,-1.867125204111758,1.5566238610830296
100,Mexico,Belgium,0.6205313113682523,2.1284460473325266,85,44.588235294117645,0.39220964922240054,2.4932051497836256
101,Kyrgyzstan,Georgia,0.6466245425841091,1.9140422475334922,121,30.66115702479339,0.37478291835032157,2.477543348707306
102,Somalia,Jersey,-8.01962536534508,2.529874345418237,55,41.27272727272727,-8.03935276409225,7.435966339863723
103,Vanuatu,Oman,-4.847065935913249,1.7126468857368682,14,20.714285714285715,-4.672452984070828,3.130818552185194
104,Yemen,Belgium,-3.8650831470000604,2.769805774369473,83,59.75903614457831,-3.5656772866609208,3.87689468648598
105,Saint Kitts and Nevis,Greece,-0.6644013659992518,1.4679192186984478,22,40.45454545454545,-0.6587236823862964,2.001822197436102
106,United Kingdom,Martinique,-1.6224467870004857,2.097639715926779,21,35.714285714285715,-1.191944596106239,3.2672310885998788
107,Nigeria,Belarus,1.3466558784608333,1.8750967610695726,28,37.142857142857146,1.3083456043115154,2.718525777752103
108,Albania,Malta,-2.6752850565757837,4.798877871749741,155,42.12903225806452,-2.8619331665394196,6.7764532452887485
109,Sweden,Trinidad and Tobago,-2.314461520158219,3.5261626712264387,150,34.666666666666664,-2.2790354136288267,4.413704468051297
110,Ghana,Netherlands,0.05815728463237672,4.376010567912878,45,32.888888888888886,-0.3295159282576053,5.277396106366166
111,Peru,Netherlands,1.4851360831474272,3.3501355683966163,32,54.0625,1.0589986698298328,3.7496622847022243
112,Malawi,Philippines,-1.5706224672946214,3.3168850355118296,236,58.47457627118644,-1.058231665747666,2.753745837166428
113,Zambia,Syria,-3.3999545119278585,3.611412410326127,118,36.440677966101696,-4.164632851133843,6.203835878540508
114,Central African Republic,Iraq,-4.28002283681764,2.541302177787585,77,36.883116883116884,-4.806701190490732,5.444095200881069
115,Croatia,Jersey,-0.3727266201073666,2.4507100883384636,6,38.333333333333336,-0.9420675056075025,3.1020566181307383
116,Saint Lucia,Russia,-2.998810058311056,2.828166962081368,100,43.3,-2.7063929153938773,4.703923808378982
117,Brunei,Kazakhstan,1.073152955394285,2.0448763768066662,16,36.25,0.9943554281604763,2.488587797750102
118,Senegal,Angola,-0.9787828803496452,4.310212045777655,46,46.73913043478261,-1.5501949959121883,5.0907443069611755
119,Sudan,Algeria,1.4329405428530775,2.4301842710949373,93,37.41935483870968,0.9221013283948255,3.4094925614910188
120,Tanzania,Lesotho,-1.0847592494091374,2.4253829666818483,39,28.71794871794872,-1.6719044297514072,3.8324048537313633
121,Tanzania,Samoa,-1.0610744860502594,3.186219156281041,48,53.333333333333336,-1.0421877143977056,3.6492288220514832
122,Iraq,Malawi,-3.118177892857787,3.269479794270005,44,53.86363636363637,-2.8441469418936784,4.695829656415053
123,Kazakhstan,Hong Kong,-0.053673889902728276,4.44444098648971,42,48.57142857142857,0.4321376294988109,6.283119569850774
124,Sierra Leone,Costa Rica,-4.976477076992863,3.560200782767675,6,15.0,-3.451789546969086,2.1816541005137897
125,Israel,Suriname,-5.217142691492977,1.8478912151535622,14,33.57142857142857,-5.48071336848013,5.056965340742452
126,Barbados,Ethiopia,-5.59778852798894,0.0,3,16.666666666666668,-5.59778852798894,3.878261656201216
127,North Korea,Denmark,-1.0548263477514743,1.153002851803221,136,27.205882352941178,-1.1962166013050946,2.166419083469949
128,Dominican Republic,Denmark,1.77651533313193,2.9043442154013603,9,22.22222222222222,-1.6118862515029897,9.482315686489493
129,Vietnam,Lithuania,-1.374499593771127,5.246143322464354,41,29.26829268292683,-0.13724374171687087,4.865877467598023
130,Saint Kitts and Nevis,Belgium,-1.4853432850780741,2.53116552741639,10,38.0,-0.4385379541349517,3.76006150927927
131,Monaco,Iceland,-2.2751515114429237,3.4412795533715315,10,65.0,-3.1345157188629207,5.474742447291749
132,Slovak Republic,Finland,-1.6900850829989387,1.8703587330249951,43,44.651162790697676,-2.2716203171881193,3.0757673381029504
133,Serbia,Slovak Republic,-1.5527783932887285,2.71371509997935,7,47.142857142857146,-1.6698106042491079,2.9343584593017114
134,Saint Lucia,Jersey,-2.5175506773834777,3.836956683906508,4,30.0,-4.000590814882215,5.306394874459589
135,Mozambique,Poland,1.72549019607843,0.0,3,33.333333333333336,1.7254901960784297,1.1954546750279302
136,Botswana,Brazil,-4.190985350964286,2.129409966131855,56,52.67857142857143,-4.168866451122292,3.355400657264901
137,Zimbabwe,Chad,-0.03322975075290564,2.2166192172662034,11,66.36363636363636,0.45733015580057856,2.3267067447533565
138,Nicaragua,Saint Vincent and the Grenadines,4.5154120437264975,3.7517399193140775,19,35.26315789473684,3.708620032066092,4.3518717033100875
139,Singapore,Portugal,0.1481331376344055,0.874096369583991,24,42.5,0.3501270042752143,1.742271285496002
140,Myanmar,Zambia,-0.9571334203814511,3.16079923997595,24,48.75,0.18867750029338679,3.725509040963779
141,South Korea,Morocco,-2.9986477791394273,4.553983531141937,27,39.629629629629626,-1.6667615954861394,4.866209401574697
142,Democratic Republic of the Congo,Papua New Guinea,-4.32124113110019,3.0697186118960578,4,35.0,-3.1819035737979515,1.490456372208964
143,Syria,Gabon,1.6793893129771,0.0,2,20.0,1.6793893129771,0.0
144,Philippines,Aruba,1.3262599469496,0,1,100.0,1.3262599469496,0
145,Hong Kong,Spain,0.09087146148076036,2.161324770047424,25,64.0,0.2719856608961619,2.1943102819758993
146,Cook Islands,Malta,2.078512564446073,4.040597914992934,7,42.857142857142854,1.6841905844463434,4.719768241728475
147,Syria,Kosovo,-6.368631368631365,2.41425241425241,4,42.5,-7.007698184168767,5.794821950463266
148,Macedonia,Botswana,-2.7713625866050804,0.0,6,33.333333333333336,-2.7713625866050795,1.7173505830758056
149,Vatican City,Mauritius,-0.8012227113877045,2.092543071608197,9,48.888888888888886,-0.4047302741823136,3.891251387691753
150,San Marino,New Zealand,-2.651083669970349,1.6287959047139713,11,37.27272727272727,-2.4683114234828323,1.6291630618626873
151,France,French Polynesia,0.8348861158852229,6.698895439961863,7,34.285714285714285,-2.927787287733761,12.885038171706293
152,Togo,Barbados,0.411022202418895,0.9976882100063522,4,37.5,0.12301442411165332,0.9370958387423026
153,Jordan,Martinique,-0.24096385542168,0.0,6,33.333333333333336,-0.24096385542167997,0.14931983985377573
154,Saint Kitts and Nevis,Belarus,2.91970802919708,0.0,4,45.0,2.91970802919708,1.1237961444080304
155,Bahamas,Cameroon,-1.1467919076614699,0.8290958843461456,9,21.11111111111111,-1.0304276608624403,0.7876864063969283
156,Gabon,Ivory Coast,2.0277953879939483,3.535316255088057,5,32.0,1.6325396577258071,3.914778678309527
157,Indonesia,Albania,-3.03230059327621,3.758716771670726,5,24.0,-4.152933421226117,6.791527959254722
158,South Sudan,Brazil,-7.9447235167141,2.299865629572627,6,31.666666666666668,-8.257261807305314,5.567594373603024
159,Uganda,Ukraine,-0.4771882508355783,1.5204768614616888,12,35.0,-1.7345708943965843,4.061582844881872
160,Costa Rica,Liberia,-1.575032373992388,1.5283386354229096,5,80.0,-1.968790467490485,1.9104232942786368
161,Cape Verde,Libya,-2.80797101449275,0.0,5,46.0,-2.80797101449275,1.910943411773211
162,Congo,Costa Rica,-2.9195649005301654,0.8838948064130135,12,34.166666666666664,-2.735574258182354,2.4679762021544014
163,Botswana,Peru,-1.588167846729112,0.033627256075982666,5,32.0,-1.5844082052049777,0.5330427687281533
164,Marshall Islands,Papua New Guinea,1.6914936914936898,0.7333313827064546,5,48.0,2.027166107625876,2.37220941589733
165,Kyrgyzstan,Saint Lucia,-6.846942382467304,1.026132751777084,5,62.0,-6.460164882153732,3.110855657836329
166,Israel,Micronesia,10.6557377049181,0.0,5,80.0,10.6557377049181,4.614069774261382
167,Armenia,Uzbekistan,0.4037533813342334,0.8812104176367053,6,50.0,0.40375338133423333,1.061370106398119
168,Kuwait,Costa Rica,-6.0,0,1,20.0,-6.0,0
169,Myanmar,Cayman Islands,2.89855072463768,0.0,2,25.0,2.8985507246376803,0.8198339492017938
170,Pakistan,Peru,1.05263157894737,0.0,2,30.0,1.05263157894737,0.49621528504319196
171,Dominican Republic,Namibia,-2.6865671641790994,0.0,6,16.666666666666668,-2.6865671641790994,1.6648047816533342
172,Lesotho,Gambia,-1.5614999339638982,0.35056558526100123,5,60.0,-1.5188304497566867,0.47924004768554457
173,Dominican Republic,Georgia,-2.9616724738676,0,1,60.0,-2.9616724738676,0
174,Uzbekistan,Iceland,-9.4017094017094,0.0,2,10.0,-9.4017094017094,0.0
175,Niger,Cook Islands,6.23229461756374,0,1,100.0,6.23229461756374,0
176,Comoros,Belgium,-8.38926174496644,0.0,3,56.666666666666664,-8.38926174496644,4.759006494765571
177,Saint Kitts and Nevis,Syria,-5.35714285714286,0.0,2,100.0,-5.35714285714286,0.0
178,Sweden,Guatemala,0.88888888888889,0,1,80.0,0.88888888888889,0
179,Macau,Jamaica,2.5033387497151462,2.2005779033064745,4,27.5,1.2334928986752995,2.3650277369803523
180,West Bank,Laos,3.14441973209746,3.7766376364361824,2,20.0,3.14441973209746,3.7766376364361833
181,Gabon,Saint Lucia,-3.6403191264742247,0.33325923614875697,2,40.0,-3.699231592917684,1.620306406155264
182,Vatican City,Laos,0.4739336492891,0,1,80.0,0.4739336492891,0
183,Belize,Cameroon,-8.38323353293413,0,1,100.0,-8.38323353293413,0
184,United States,Singapore,-2.267518509303152,3.511497198818679,127898,44.470750129009055,-2.135126341429779,4.565062723642724
185,Greece,Turkey,-2.8729434634218496,3.2909952792997306,40066,39.30115309738931,-3.1317628423765043,4.913804760632385
186,Netherlands,Poland,-1.2297305236884837,3.3375126034269043,354,42.740112994350284,-1.1634129761170946,3.8594132064174236
187,Saudi Arabia,Malaysia,-2.9666754630842695,3.3357109848370428,45113,37.543945204264844,-2.9972144632963076,4.895668309496635
188,Switzerland,Australia,-1.7319861350599897,3.458096574277796,48868,38.81578947368421,-1.568489037431847,4.4116531787216005
189,Cuba,Australia,-1.3919742092391751,2.700937792405657,29770,39.2888814242526,-1.3897746261132278,3.6400989139572917
190,France,Somalia,-3.064233534135946,2.8884870234825617,3475,26.192805755395682,-3.0988719761023296,6.317579480969672
191,Tanzania,Turkey,-2.662966834943819,4.148411379259891,2174,40.03219871205152,-2.7367564189131097,5.020340226172306
192,Pakistan,Singapore,-4.839887235700428,3.850103700392635,6299,43.19574535640578,-4.802070445726615,5.824401370562678
193,West Bank,Canada,-4.792038617436354,3.907849429094623,31232,31.800717213114755,-5.0146157684401045,6.6015244641245925
194,Germany,Yemen,-3.1066668116495912,2.7074913209564047,144,36.52777777777778,-3.0569816845566877,4.129392029997286
195,Switzerland,Taiwan,-2.010883886629531,3.8116082158429485,1818,41.50715071507151,-1.706642107459916,4.644318596711158
196,Spain,Jordan,-1.2462767931790857,3.371641907053109,852,35.48122065727699,-1.4275061724196783,4.237442500834508
197,Niger,Bangladesh,-5.907552083686967,3.5501210379709898,657,37.10806697108067,-5.900158722526318,6.3700221458623485
198,Macedonia,Kenya,-5.126818186405405,3.4362437352447666,128,39.296875,-4.8327481724656085,4.334119065250708
199,Thailand,Sri Lanka,-0.03331533188773883,3.8615994144825434,3425,40.981021897810216,0.16968232397321836,5.0621299419274575
200,Senegal,South Africa,-2.9161612999266486,3.670459380255756,5675,38.41057268722467,-2.9294449418349724,5.446966032336267
201,Australia,Samoa,-1.1842335497811478,3.849107500884179,2290,39.06113537117904,-1.0965489480291521,4.78537843106774
202,Tajikistan,Armenia,-0.05575426620691063,3.190959917540183,1588,43.31234256926952,0.018231409571789935,4.004465063799112
203,United Arab Emirates,China,0.6867820110231707,3.430507678835041,13548,41.30351343371716,0.7485878340191414,4.210855403616575
204,Somalia,Nigeria,-4.386793041758757,4.0682592099133785,27036,39.94784731469152,-4.270255522664474,5.845362199001978
205,Somalia,Tuvalu,-6.342480111368872,3.12756051876109,3151,38.657569025706124,-6.477656992564381,6.371239267614992
206,South Korea,Bahrain,-2.539247349883227,3.852017096046123,1661,43.79891631547261,-2.5709449925190704,5.475153578957733
207,Ukraine,South Korea,-2.845699244447416,3.0622928753854115,924,38.333333333333336,-2.930005710505342,4.3825993469974955
208,Kuwait,Oman,-1.8387003707142817,4.52638926607618,967,42.23371251292658,-1.8866305760876276,5.558033116571604
209,Austria,Turkey,-3.7767772038472094,3.2225450533458804,9390,36.49094781682641,-3.79352646346441,5.121289882873491
