country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Antigua and Barbuda,-2.512875829716747,3.7532242198652797,45573,18194,40.51060935202862,-2.5980244398438455,5.042276443077028,-5.27306967984935,-3.01556420233463,0.0
Lebanon,-4.260621999960722,3.4312916998738996,1069787,325658,36.885753893064695,-4.346783510968384,5.770706386635729,-6.31970260223049,-4.16666666666667,-2.15517241379311
Cuba,-1.204930534905303,2.794361706518205,1527973,378995,40.17978720828182,-1.1431716579066067,3.639790571423968,-2.82352941176471,-0.88062622309198,0.66666666666667
Portugal,-2.2694988321551337,3.71519454076293,371160,126122,40.7737902791249,-2.378746323693599,5.112506435450141,-4.8936170212766,-2.04081632653061,0.39370078740158
Luxembourg,-2.2614640633775975,2.8583540295439827,234789,65616,41.59453807461167,-2.289945566237135,3.9192006692022345,-4.17004048582996,-2.16251638269987,-0.465116279069768
Australia,-2.1445065495811972,3.8172291233493003,3106202,1215690,41.40839520417539,-2.050400148662561,5.069999774785617,-4.6927374301676,-1.9790454016298,0.45180722891566
Cameroon,-5.247171620147631,4.034997083703692,175382,63930,41.42112645539451,-5.4359549397221425,6.633711525440865,-8.08510638297873,-5.3935860058309,-2.70152505446623
Papua New Guinea,-3.0420552608298292,3.4435059586478127,146935,43368,41.50767346105421,-2.939830931956153,4.760859125969716,-5.34883720930233,-2.95872106895729,-0.74152542372882
Poland,-2.3154217285565517,3.4237772520486787,1250813,336725,40.75258252032878,-2.2948961183804735,4.738839410130781,-4.54398968739929,-2.01342281879195,-0.0574712643678099
Central African Republic,-4.5817595927245724,3.35200587223913,134581,36039,40.427326294202004,-4.587503520328515,5.38014540799372,-6.76923076923076,-4.59770114942528,-2.24719101123595
Denmark,-2.274086858668653,3.83536246944306,550263,195041,39.27916287302617,-2.187663976191147,5.127421127324949,-4.93601462522852,-2.19594594594595,0.45385779122542
