country,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Maldives,-2.9079849884215734,4.132530286407205,7125,6103,45.11578947368421,-2.597606537043527,5.278177675675864,-5.81896551724138,-3.25581395348838,-0.156985871271591
Rwanda,-0.12106781760028074,3.968627821163051,37437,31855,46.02665811897321,0.11970189671744168,4.626164757658435,-2.34009360374415,0.49916805324459,2.5974025974026
Afghanistan,-3.898800849777766,4.29722659210081,176586,121383,42.693814911714405,-4.084781450056646,6.366185802009846,-6.80272108843537,-3.90879478827362,-0.91638029782359
Cambodia,-2.496338260919582,3.765406989014545,98657,70579,41.004794388639425,-2.4091188155084016,4.888149813976249,-5.05124450951684,-2.72614622057002,0.14556040756914
Fiji,0.1351868029374665,3.936735613165878,88524,73744,49.09312728751525,0.31436102716992087,4.466317177511596,-1.82704019488428,0.71428571428571,2.6615969581749
Germany,-2.5761054223356123,3.3800149220758553,114558,99582,41.06426439009061,-2.566210202640535,4.726469161096853,-4.67289719626168,-2.40963855421687,-0.31512605042017
Sri Lanka,-1.4783820320784788,3.8544486308143244,267385,213786,47.13102829253698,-1.4491414309622823,4.845755232093901,-3.84245917387128,-1.35935866155455,1.11292962356792
France,-3.03091265335143,3.8380630989925693,130129,94097,38.91238693911426,-2.968202474025285,5.306667798578968,-5.65885206143901,-2.94767870302137,-0.33444816053511
Greece,-2.00349939079064,3.502154531087868,111791,78478,40.85758245297028,-2.124895603876378,4.792093534744679,-4.16666666666667,-1.83486238532111,0.36363636363637
Algeria,0.057684325210083195,4.020856594876704,10695,10227,45.414679756895744,-0.051324981716441294,5.040984260374725,-1.8018018018018,0.826446280991734,2.71739130434783
Togo,1.2381834207666473,2.252683865094037,139,83,46.115107913669064,1.174722300911856,3.4132619723536353,0.44052863436123,1.77935943060499,2.62216924910608
Sudan,-2.8422439868787657,3.049946714016162,57541,39274,43.58579100119915,-2.8461719336207323,4.259850156593497,-4.79452054794521,-3.00751879699248,-1.17924528301887
Argentina,-1.6153597523787335,3.0407552153157535,22875,14130,33.64327868852459,-1.5831497488735735,3.930413391452859,-3.7037037037037,-1.43369175627241,0.51150895140665
