country,actor_type,avg_tone,std_tone,count_mentions,count_events,avg_conf,avg_weighted_tone,std_weighted_tone,first_quartile_tone,median_tone,third_quartile_tone
Turkmenistan,HLH,0.280411858697986,2.292674148508377,5,5,36.0,0.7270896990814372,1.9605896763809005,-1.49118843199277,1.52671755725191,1.52671755725191
Belarus,SEP,-5.119373861529564,1.6340440527740423,6,5,40.0,-4.591988411249302,2.8298035929115573,-7.22891566265061,-4.06460296096904,-4.06460296096904
Botswana,COP,-6.029918533126394,2.9930343265128028,643,290,40.20217729393468,-5.786683826315132,4.959047539764337,-8.35654596100278,-5.18518518518519,-4.86111111111111
Czech Republic,ELI,-1.9653147227624836,4.143940970009976,4443,1261,50.35786630654963,-2.297800282160774,6.160920196397071,-5.6140350877193,-1.48148148148149,0.98425196850393
Democratic Republic of the Congo,LEG,-6.661326398581576,2.5062163568805245,321,71,19.84423676012461,-6.159559152998674,9.155503922807018,-7.42009132420092,-7.31969860064586,-6.83673469387755
Lithuania,CVL,-3.7193435066987064,5.4767919491674855,662,381,45.39274924471299,-3.256723434953715,6.185185959730299,-6.70731707317073,-2.7027027027027,0.0
Malawi,COP,-5.521148015191114,3.0364372207903023,1693,1045,43.76255168340224,-5.585395087861685,5.500932445464345,-7.52823086574655,-4.7244094488189,-3.76432078559739
Panama,LEG,-1.7796405414313654,3.154522519278833,789,448,29.15082382762991,-1.7180921841711727,6.080311013058895,-3.74181478016838,-1.94029850746269,0.0
Trinidad and Tobago,BUS,-0.1471877902285917,2.8005048645804997,315,253,41.61904761904762,-0.014058959494408961,3.512633448881368,-2.40641711229947,0.0904159132007201,1.68918918918918
United Kingdom,LEG,-3.1503271816287195,3.3746478946853,52613,15538,40.31836238192082,-3.4136190475956685,5.060064361661144,-5.23857190523857,-3.01167793484941,-1.13065326633166
Zimbabwe,EDU,-1.5846766957583225,3.216917498297186,2973,1516,39.83854692230071,-1.534752078812461,4.109523042793652,-3.45199568500539,-2.35849056603774,0.56925996204933
Democratic Republic of the Congo,IGO,2.52525252525253,0.0,1,1,100.0,2.52525252525253,0.0,2.52525252525253,2.52525252525253,2.52525252525253
Sri Lanka,HLH,-4.762590871581391,3.8465998888025963,718,135,46.46239554317549,-5.05953909890326,4.616945303962529,-7.86516853932584,-4.79233226837061,-3.57941834451901
Tanzania,REB,-4.117810022731224,3.7934087380310975,9,9,35.55555555555556,-3.161707361382158,2.4419455449603906,-6.91547749725577,-2.98053527980535,-1.5358361774744
Spain,NGO,-3.8486903075555596,1.9176956784289272,14,14,36.42857142857143,-2.7507064217971386,0.9358782921075982,-5.90717299578059,-4.56762749445676,-2.49307479224377
Angola,SET,-5.792454794878812,0.03077793294130176,14,3,100.0,-5.792454794878811,0.030777932941301468,-5.78034682080925,-5.78034682080925,-5.78034682080925
Afghanistan,HLH,-6.079890025888392,2.760081098916949,5485,1714,42.824065633546034,-6.049045565727347,5.0767928735568715,-8.13008130081304,-5.88760035682427,-4.22848664688427
Albania,GOV,-3.318993602594317,3.735848347961395,22381,6826,38.7055984987266,-3.3057934891332006,5.313671909511501,-6.29011553273428,-3.10077519379845,-0.9009009009009
Armenia,MIL,-5.308332772511754,2.829622543178685,7438,4386,39.54692121538048,-5.473125970663143,4.854492500158767,-6.95652173913043,-5.32544378698225,-3.886925795053
Burkina Faso,AGR,-1.521080995208431,2.4779306435469413,27,22,63.333333333333336,-1.7757967468563505,2.384168246504166,-3.33333333333333,-1.63265306122449,0.54945054945055
Estonia,MIL,-2.5033253364998,2.08403015410811,1985,500,33.52141057934509,-2.2768287940316636,2.886937802664537,-3.690036900369,-3.23741007194245,-1.61870503597122
Ethiopia,OPP,-8.07391476194602,3.8588250902854857,1358,506,36.929307805596466,-7.937170129358122,6.036206721558042,-9.52380952380948,-8.05369127516779,-6.36042402826855
Honduras,HLH,-1.5756161394282484,4.04365144997947,192,95,48.28125,-0.7972191340304458,4.5348594302539045,-5.48780487804878,-1.31147540983606,2.48565965583174
Hungary,REF,-5.4800029835813255,2.3584495764063638,1277,395,45.62255285826155,-5.422358344608589,4.6807171292749485,-6.6728452270621,-5.76441102756892,-4.67625899280575
Macedonia,OPP,-7.999038649047678,3.903218364741217,1735,386,47.752161383285305,-8.34601744451422,6.350547314956255,-8.56378233719891,-7.87401574803149,-5.86510263929619
Netherlands,CVL,-2.549771717208954,3.692496251678638,10419,3547,44.073327574623285,-2.361828342991352,4.052079788068986,-4.77178423236514,-2.11081794195251,-0.27675276752768
Nigeria,REF,-7.736578087517196,2.8273426685058602,3564,1099,33.67564534231201,-7.781123742145211,6.584048502542339,-9.55710955710953,-7.91705937794533,-6.42570281124498
Philippines,REF,-0.945395827717529,3.2129697837716384,341,145,34.516129032258064,-1.1459537262144661,5.360080990435628,-2.93501048218029,-0.14880952380952,1.28205128205129
