,Country,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
71,Kazakhstan,1.0166455053524621,3.2803402575361167,21810,50.9050894085282,1.0464512774796617,4.069013734727921
72,Azerbaijan,0.07592996781077645,3.9502930473872664,198654,46.573036535886516,0.2360672224642293,4.692760339154725
73,Oman,1.7774060347686298,4.42330968961081,32363,51.288817476748136,1.7580063681983629,5.711190034601174
74,Ivory Coast,1.9032177258873921,2.22887848548443,218,48.85321100917431,2.0930065619356037,2.7632599102500692
75,Turkey,-3.0198856220820547,3.670620986111135,475496,39.45907010784528,-3.1570981145536443,5.391904622161099
76,Belarus,0.3783972927866119,3.311937336486487,86765,44.99878983461073,0.41570363422368406,4.0134254410239665
77,Cyprus,-0.5474086468902758,3.3042851161295794,43774,42.06652350710468,-0.5661608127199251,4.336809603076955
78,Bolivia,0.13601726362193134,2.7980617493520823,86,55.93023255813954,-0.28762956501765685,4.630539368592397
79,Luxembourg,0.8045951877685866,3.23981412224343,9712,53.134266886326195,0.8014468507520272,3.9543144414824507
80,Mongolia,1.2655115142756204,3.1987581900188515,2445,52.77300613496933,1.0931611185322556,4.062290484742422
81,Seychelles,1.9122644500588093,2.9350159886254104,7949,50.35979368474022,1.8812240116724888,3.749484661464771
82,Myanmar,-2.0332587325030995,3.4013456548861236,63172,45.52855695561325,-1.9310768525736461,4.393169960825477
83,Tunisia,-2.06744833787531,4.603343760094401,4114,41.46329606222654,-1.9975131754845485,5.889131046375917
84,Brazil,-1.5625918320889391,3.7241757675330334,17961,40.68982796058126,-1.6318394670517855,4.9023079790186435
85,Qatar,1.3359707304147812,4.0640906324326345,61976,47.92468052149219,1.4240704030487388,5.179779127926143
86,Denmark,-1.5503049358321273,2.9933314852337034,15715,42.47725103404391,-1.5148188985337265,3.8766966506485936
87,Georgia,-1.750081435762462,3.444624302760366,420,44.19047619047619,-1.58943675334974,4.024550255106035
88,Belgium,-1.9872326472296429,3.8668635026224374,8031,44.62084422861412,-2.014247273307173,5.002792162886797
89,Morocco,-1.307880710751662,4.352398301693322,15847,42.83018867924528,-1.332657339535017,5.567450536783647
90,Tonga,0.16252244055085,3.70050132374057,1954,50.22517911975435,0.14268075293396607,4.380373630557983
91,Cape Verde,-0.8346104981189748,1.0428477497271011,21,41.904761904761905,-0.7533088609922287,1.5845008098981272
92,Iraq,-3.648959584579537,3.0988041418435945,108114,40.78435725252974,-3.835941999799883,5.053808472579379
93,Spain,-1.0789827048851157,3.553933572953971,48662,41.78722617237269,-1.155439545685449,4.533060290474893
94,Albania,-1.5621513563639535,3.56178428482393,12386,40.03471661553367,-1.498286679547972,4.636573550517213
95,Aruba,2.986284475943093,2.4975945091238647,31,42.25806451612903,2.3157214777330806,2.9398396368598947
96,Micronesia,3.238518642186451,2.9766994369737794,164,34.451219512195124,3.443689621684919,4.313135137526746
97,San Marino,-0.6221763111737679,1.5851803517985172,5,100.0,-0.6221763111737679,1.5851803517985172
98,Indonesia,-1.284026654243028,3.8563010827785664,139105,40.09568311706984,-1.2629860387068186,4.808460208958233
99,West Bank,3.079178885630497,0.09775171065493506,4,20.0,3.128054740957965,2.327982523312609
100,Guatemala,0.7562359724327121,2.1861292808588333,467,41.84154175588865,1.063516217133995,3.0809034531100994
