GlobalEventID. (integer);Day. (integer);MonthYear. (integer);Year. (integer);FractionDate. (floating point;Actor1Code. (string);Actor1Name. (string);Actor1CountryCode. (string);Actor1KnownGroupCode. (string);Actor1EthnicCode. (string);Actor1Religion1Code. (string);Actor1Religion2Code. (string);Actor1Type1Code. (string);Actor1Type2Code. (string);Actor1Type3Code. (string);Actor2Code. (string);Actor2Name. (string);Actor2CountryCode. (string);Actor2KnownGroupCode. (string);Actor2EthnicCode. (string);Actor2Religion1Code. (string);Actor2Religion2Code. (string);Actor2Type1Code. (string);Actor2Type2Code. (string);Actor2Type3Code. (string);IsRootEvent. (integer);EventCode. (string);EventBaseCode. (string);EventRootCode. (string);QuadClass. (integer);GoldsteinScale. (floating point;NumMentions. (integer);NumSources. (integer);NumArticles. (integer);AvgTone. (numeric);Actor1Geo_Type. (integer);Actor1Geo_Fullname. (string);Actor1Geo_CountryCode. (string);Actor1Geo_ADM1Code. (string);Actor1Geo_ADM2Code. (string);Actor1Geo_Lat. (floating point;Actor1Geo_Long. (floating point;Actor1Geo_FeatureID. (string);Actor2Geo_Type. (integer);Actor2Geo_Fullname. (string);Actor2Geo_CountryCode. (string);Actor2Geo_ADM1Code. (string);Actor2Geo_ADM2Code. (string);Actor2Geo_Lat. (floating point;Actor2Geo_Long. (floating point;Actor2Geo_FeatureID. (string);ActionGeo_Type. (integer);ActionGeo_Fullname. (string);ActionGeo_CountryCode. (string);ActionGeo_ADM1Code. (string);ActionGeo_ADM2Code. (string);ActionGeo_Lat. (floating point;ActionGeo_Long. (floating point;ActionGeo_FeatureID. (string);DATEADDED. (integer);SOURCEURL. (string)
707239038;20171115;201711;2017;2017.8630;USAGOV;THE US;USA;;;;;GOV;;;;;;;;;;;;;1;13;13;1;1;0.4;4;1;4;2.67175572519084;1;Philippines;RP;RP;;13;122;RP;0;;;;;;;;1;Philippines;RP;RP;;13;122;RP;2,02E+13;http://indianexpress.com/article/india/lower-than-last-year-but-12-3-per-cent-growth-in-fresh-enrollments-at-us-univs-still-a-good-number-envoy-4939384/
707239039;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;;;;;;;;;;;1;40;40;4;1;1.0;1;1;1;-1.14613180515759;2;Alabama, United States;US;USAL;;32.799;-86.8073;AL;0;;;;;;;;2;Alabama, United States;US;USAL;;32.799;-86.8073;AL;2,02E+13;https://wdef.com/2017/11/15/how-alabama-sen-richard-shelby-plans-to-vote-on-election-day/
707239040;20171115;201711;2017;2017.8630;USAGOV;OBAMA;USA;;;;;GOV;;;;;;;;;;;;;1;43;43;4;1;2.8;3;1;3;-1.74291938997821;1;Cuba;CU;CU;;22;-79.5;CU;0;;;;;;;;1;Cuba;CU;CU;;22;-79.5;CU;2,02E+13;http://www.kinston.com/opinion/20171115/editorial-cuba-rules-both-good-and-bad
707239041;20171115;201711;2017;2017.8630;USAGOV;AMERICAN;USA;;;;;GOV;;;;;;;;;;;;;1;43;43;4;1;2.8;6;1;6;3.74531835205992;2;Florida, United States;US;USFL;;27.8333;-81.717;FL;0;;;;;;;;2;Florida, United States;US;USFL;;27.8333;-81.717;FL;2,02E+13;http://www.cnn.com/2017/11/15/politics/trump-water-bottle/
707239042;20171115;201711;2017;2017.8630;USAGOV;THE WHITE HOUSE;USA;;;;;GOV;;;CHN;CHINA;CHN;;;;;;;;0;42;42;4;1;1.9;2;1;2;-1.02564102564103;3;White House, District of Columbia, United States;US;USDC;;38.8951;-77.0364;531871;4;Beijing, Beijing, China;CH;CH22;13001;39.9289;116.388;-1898541;4;Beijing, Beijing, China;CH;CH22;13001;39.9289;116.388;-1898541;2,02E+13;https://www.bloomberg.com/news/articles/2017-11-15/trump-insists-asia-trip-that-lacked-breakthroughs-was-a-success
707239043;20171115;201711;2017;2017.8630;USAGOV;THE WHITE HOUSE;USA;;;;;GOV;;;CHN;CHINA;CHN;;;;;;;;0;42;42;4;1;1.9;1;1;1;-1.02564102564103;1;North Korea;KN;KN;;40;127;KN;1;North Korea;KN;KN;;40;127;KN;1;North Korea;KN;KN;;40;127;KN;2,02E+13;https://www.bloomberg.com/news/articles/2017-11-15/trump-insists-asia-trip-that-lacked-breakthroughs-was-a-success
707239044;20171115;201711;2017;2017.8630;USAGOV;OBAMA;USA;;;;;GOV;;;CUBGOV;CUBA;CUB;;;;;GOV;;;1;43;43;4;1;2.8;2;1;2;-1.74291938997821;1;Cuba;CU;CU;;22;-79.5;CU;1;Cuba;CU;CU;;22;-79.5;CU;1;Cuba;CU;CU;;22;-79.5;CU;2,02E+13;http://www.kinston.com/opinion/20171115/editorial-cuba-rules-both-good-and-bad
707239045;20171115;201711;2017;2017.8630;USAGOV;A US;USA;;;;;GOV;;;EDU;STUDENT;;;;;;EDU;;;1;120;120;12;3;-4.0;2;1;2;2.67175572519084;1;Philippines;RP;RP;;13;122;RP;1;Philippines;RP;RP;;13;122;RP;1;Philippines;RP;RP;;13;122;RP;2,02E+13;http://indianexpress.com/article/india/lower-than-last-year-but-12-3-per-cent-growth-in-fresh-enrollments-at-us-univs-still-a-good-number-envoy-4939384/
707239046;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;GOV;GOVERNOR;;;;;;GOV;;;1;10;10;1;1;0.0;2;1;2;-0.28571428571428;3;Floresville, Texas, United States;US;USTX;TX493;29.1336;-98.1561;1357499;3;Floresville, Texas, United States;US;USTX;TX493;29.1336;-98.1561;1357499;3;Floresville, Texas, United States;US;USTX;TX493;29.1336;-98.1561;1357499;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707239047;20171115;201711;2017;2017.8630;USAGOV;THE US;USA;;;;;GOV;;;INDGOV;MUMBAI;IND;;;;;GOV;;;1;13;13;1;1;0.4;2;1;2;2.67175572519084;4;Mumbai, Maharashtra, India;IN;IN16;70184;18.975;72.8258;-2092174;4;Mumbai, Maharashtra, India;IN;IN16;70184;18.975;72.8258;-2092174;4;Mumbai, Maharashtra, India;IN;IN16;70184;18.975;72.8258;-2092174;2,02E+13;http://indianexpress.com/article/india/lower-than-last-year-but-12-3-per-cent-growth-in-fresh-enrollments-at-us-univs-still-a-good-number-envoy-4939384/
707239048;20171115;201711;2017;2017.8630;USAGOV;THE US;USA;;;;;GOV;;;INDGOV;MUMBAI;IND;;;;;GOV;;;1;13;13;1;1;0.4;4;1;4;2.67175572519084;1;Philippines;RP;RP;;13;122;RP;1;Philippines;RP;RP;;13;122;RP;1;Philippines;RP;RP;;13;122;RP;2,02E+13;http://indianexpress.com/article/india/lower-than-last-year-but-12-3-per-cent-growth-in-fresh-enrollments-at-us-univs-still-a-good-number-envoy-4939384/
707239049;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;LEG;CONGRESS;;;;;;LEG;;;0;13;13;1;1;0.4;1;1;1;-2.5;2;Alabama, United States;US;USAL;;32.799;-86.8073;AL;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2,02E+13;http://www.johnsoncitypress.com/Politics/2017/11/15/Moore-stands-firm-despite-GOP-pressure-to-leave-Alabama-race.html
707239050;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;12;12;1;1;-0.4;2;1;2;-0.55452865064695;1;United States;US;US;;39.828175;-98.5795;US;1;United States;US;US;;39.828175;-98.5795;US;1;United States;US;US;;39.828175;-98.5795;US;2,02E+13;http://www.clintonnc.com/news/25243/garland-bans-weapons-from-town-property
707239051;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;AUSTIN;USA;;;;;;;;1;40;40;4;1;1.0;2;1;2;-0.28571428571428;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2;Maryland, United States;US;USMD;;39.0724;-76.7902;MD;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707239052;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;AUSTIN;USA;;;;;;;;1;42;42;4;1;1.9;2;1;2;-0.28571428571428;3;Floresville, Texas, United States;US;USTX;TX493;29.1336;-98.1561;1357499;2;Indiana, United States;US;USIN;;39.8647;-86.2604;IN;3;Floresville, Texas, United States;US;USTX;TX493;29.1336;-98.1561;1357499;2,02E+13;https://www.voanews.com/a/republican-governors-gather-amid-party-setbacks-turmoil/4116778.html
707239053;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;42;42;4;1;1.9;2;1;2;1.72413793103448;3;Gloucester County, Virginia, United States;US;USVA;VA073;37.4168;-76.5497;1480126;3;Rappahannock County, Virginia, United States;US;USVA;;38.6668;-78.1497;1673976;3;Gloucester County, Virginia, United States;US;USVA;;37.4168;-76.5497;1480126;2,02E+13;http://www.gazettejournal.net/index.php/news/news_article/curry_to_leave_gloucester_for_top_job_in_rappahannock_county
707239054;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;42;42;4;1;1.9;1;1;1;0.61855670103092;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2;Texas, United States;US;USTX;;31.106;-97.6475;TX;3;Washington, District of Columbia, United States;US;USDC;DC001;38.8951;-77.0364;531871;2,02E+13;https://www.msn.com/en-us/news/politics/pence-promises-to-bring-texas-e2-80-98all-the-way-back-e2-80-99-from-harvey/ar-BBF0JNT
707239055;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;AMERICAN;USA;;;;;;;;1;42;42;4;1;1.9;4;1;4;3.74531835205992;2;Florida, United States;US;USFL;;27.8333;-81.717;FL;2;Florida, United States;US;USFL;;27.8333;-81.717;FL;2;Florida, United States;US;USFL;;27.8333;-81.717;FL;2,02E+13;http://www.cnn.com/2017/11/15/politics/trump-water-bottle/
707239056;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;43;43;4;1;2.8;2;1;2;3.60169491525424;3;Essex, New York, United States;US;USNY;NY031;44.3101;-73.3526;949713;3;Haverhill, Massachusetts, United States;US;USMA;MA009;42.7762;-71.0773;612607;3;Essex, New York, United States;US;USNY;NY031;44.3101;-73.3526;949713;2,02E+13;http://www.whav.net/cms/andy-vargas-officially-sworn-in-as-3rd-essex-district-state-representative/
707239057;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;841;84;8;2;7.0;6;1;6;-7.52688172043011;3;Springfield, Massachusetts, United States;US;USMA;MA013;42.1015;-72.5898;609092;3;Baystate Medical Center, Massachusetts, United States;US;USMA;;42.1218;-72.6027;601067;3;Baystate Medical Center, Massachusetts, United States;US;USMA;;42.1218;-72.6027;601067;2,02E+13;http://wwlp.com/2017/11/15/victim-of-deadly-i-291-accident-identified/
707239058;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;841;84;8;2;7.0;2;1;2;-7.52688172043011;3;Springfield, Massachusetts, United States;US;USMA;MA013;42.1015;-72.5898;609092;3;Baystate Medical Center, Massachusetts, United States;US;USMA;;42.1218;-72.6027;601067;3;Springfield, Massachusetts, United States;US;USMA;MA013;42.1015;-72.5898;609092;2,02E+13;http://wwlp.com/2017/11/15/victim-of-deadly-i-291-accident-identified/
707239059;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;112;112;11;3;-2.0;1;1;1;-6.06060606060605;3;Watertown, South Dakota, United States;US;USSD;SD029;44.8994;-97.1151;1258841;2;South Dakota, United States;US;USSD;;44.2853;-99.4632;SD;2;South Dakota, United States;US;USSD;;44.2853;-99.4632;SD;2,02E+13;http://www.keloland.com/news/article/news/watertown-woman-charged-with-steal-social-security-benefits
707239060;20171115;201711;2017;2017.8630;USAGOV;UNITED STATES;USA;;;;;GOV;;;USA;UNITED STATES;USA;;;;;;;;1;193;193;19;4;-10.0;1;1;1;-0.55452865064695;1;United States;US;US;;39.828175;-98.5795;US;1;United States;US;US;;39.828175;-98.5795;US;1;United States;US;US;;39.828175;-98.5795;US;2,02E+13;http://www.clintonnc.com/news/25243/garland-bans-weapons-from-town-property
707239061;20171115;201711;2017;2017.8630;USAJUD;UNITED STATES;USA;;;;;JUD;;;;;;;;;;;;;1;40;40;4;1;1.0;17;3;11;-3.20407812589496;2;Alabama, United States;US;USAL;;32.799;-86.8073;AL;0;;;;;;;;2;Alabama, United States;US;USAL;;32.799;-86.8073;AL;2,02E+13;http://www.kcra.com/article/roy-moore-s-attorney-holds-press-conference-amid-allegations/13761293
707239062;20171115;201711;2017;2017.8630;USAJUD;UNITED STATES;USA;;;;;JUD;;;;;;;;;;;;;0;51;51;5;1;3.4;2;2;2;-4.59083665338645;3;New Orleans, Louisiana, United States;US;USLA;LA071;29.9546;-90.0751;1629985;0;;;;;;;;3;New Orleans, Louisiana, United States;US;USLA;;29.9546;-90.0751;1629985;2,02E+13;http://www.newschannel6now.com/story/36847377/lawyer-freedom-sweet-for-man-wrongfully-convicted-in-1974
707239063;20171115;201711;2017;2017.8630;USAJUD;UNITED STATES;USA;;;;;JUD;;;COP;PRISON;;;;;;COP;;;0;51;51;5;1;3.4;2;2;2;-4.59083665338645;3;New Orleans, Louisiana, United States;US;USLA;LA071;29.9546;-90.0751;1629985;3;New Orleans, Louisiana, United States;US;USLA;;29.9546;-90.0751;1629985;3;New Orleans, Louisiana, United States;US;USLA;;29.9546;-90.0751;1629985;2,02E+13;http://www.newschannel6now.com/story/36847377/lawyer-freedom-sweet-for-man-wrongfully-convicted-in-1974
707239064;20171115;201711;2017;2017.8630;USAJUD;VERMONT;USA;;;;;JUD;;;COP;PRISON;;;;;;COP;;;1;173;173;17;4;-5.0;6;1;6;-19.1919191919192;4;Berlin, Berlin, Germany;GM;GM16;16538;52.5167;13.4;-1746443;4;Berlin, Berlin, Germany;GM;GM16;16538;52.5167;13.4;-1746443;4;Berlin, Berlin, Germany;GM;GM16;16538;52.5167;13.4;-1746443;2,02E+13;http://wwlp.com/2017/11/15/jody-herring-sentenced-to-life-without-parole-for-killing-social-worker-three-relatives/
